,fullname,html,id,likes,replies,retweets,text,timestamp,url,user
0,공부 독촉하는 밀쟝,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">너 지금 혹시 놀고 있니? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",789732447608971265,0,0,0,너 지금 혹시 놀고 있니? #빈정,2016-10-22T07:37:42,/Slave_study_bot/status/789732447608971265,Slave_study_bot
1,end,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">쯧, 서른 일곱살 피터 어린이 늙은 욘두님 등 쳐 먹을려고 굳이 타운까지 오셨읍니까? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",783323796610527232,0,1,0,"쯧, 서른 일곱살 피터 어린이 늙은 욘두님 등 쳐 먹을려고 굳이 타운까지 오셨읍니까? #빈정",2016-10-04T15:12:01,/TH_YonduU/status/783323796610527232,TH_YonduU
2,Pro-Chemicalist,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">물론 남부기가 무슨죄겠어. 그걸 나쁘게 쓰는 놈들이 문제지 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",896713099767455744,1,0,0,물론 남부기가 무슨죄겠어. 그걸 나쁘게 쓰는 놈들이 문제지 #빈정,2017-08-13T12:40:37,/kirina77/status/896713099767455744,kirina77
3,Kassy Alexandra,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">""그런 기분, 한-번도 못 느껴보겠다? 난 지겨운데.""

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",896711775038484480,0,1,0,"""그런 기분, 한-번도 못 느껴보겠다? 난 지겨운데.""

#빈정",2017-08-13T12:35:21,/kassy_alexandra/status/896711775038484480,kassy_alexandra
4,탈라하시,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2973925486"" dir=""ltr"" href=""/cutegirl_b""><s>@</s><b>Cutegirl_b</b></a> 넌 오빠 붙이냐... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",262180449936351233,0,1,0,@Cutegirl_b 넌 오빠 붙이냐... #빈정,2012-10-27T13:14:25,/Zombie_Talbot/status/262180449936351233,Zombie_Talbot
5,루엘라스,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">내가 친.절.히 사진도 준비했는데~ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",259642118300123136,0,0,0,내가 친.절.히 사진도 준비했는데~ #빈정,2012-10-20T13:07:59,/Luelas_bot/status/259642118300123136,Luelas_bot
6,한스,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""886937725"" dir=""ltr"" href=""/android_hans""><s>@</s><b>android_hans</b></a> 기름칠이나 똑바로 하고 다니라구. 녹슬어서 삐걱대기 전에 말이야~ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",258843165149233152,0,1,0,@android_hans 기름칠이나 똑바로 하고 다니라구. 녹슬어서 삐걱대기 전에 말이야~ #빈정,2012-10-18T08:13:14,/bot_Hans/status/258843165149233152,bot_Hans
7,Bye Bye,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">학원가기 싫다....<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",258151796583837696,0,0,0,학원가기 싫다....#빈정,2012-10-16T10:25:59,/Nakagawa_Ayaka_/status/258151796583837696,Nakagawa_Ayaka_
8,델롱,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@SUPER_M_RAVI ....이젠 몸까지 팔고 다니나봐? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",257509368273178625,0,1,0,@SUPER_M_RAVI ....이젠 몸까지 팔고 다니나봐? #빈정,2012-10-14T15:53:12,/Delroze/status/257509368273178625,Delroze
9,Ron Weasley,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">헤르미온느는 크룸한테 답장을 쓰러 가신대-<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a> 나도 만날사람이 있어서 가볼게! 흥.</p>",254235486204346370,0,1,0,헤르미온느는 크룸한테 답장을 쓰러 가신대-#빈정 나도 만날사람이 있어서 가볼게! 흥.,2012-10-05T15:03:58,/Ron_krbot/status/254235486204346370,Ron_krbot
10,Ron Weasley,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""460318772"" dir=""ltr"" href=""/Draco_kr_bot""><s>@</s><b>Draco_kr_bot</b></a> 부럽냐? 친구가 없나보네?<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",254230797102493696,1,1,0,@Draco_kr_bot 부럽냐? 친구가 없나보네?#빈정,2012-10-05T14:45:20,/Ron_krbot/status/254230797102493696,Ron_krbot
