,jaso
0,ㅁㅓㅇㅗㄴㅡㄹㅂㅗㄱㅈㅏㅇㄱㅓㄴㅅㅏ
1,ㄱㅡㄱㅡㄹㅐㅇㅛㄱㅡㄱㅡㄴㅏㄹㅇㅣㅇㅗㅁㅕㄴㅂㅗㄱㅅㅜㄹㅡㄹ
2,ㅇㅕㄱㅅㅣㅁㅏㅋㅏㄹㅗㅇㅇㅡㄹㅁㅓㄱㅈㅣㅇㅏㄴㅎㄴㅡㄴㄴㅏㅇㅢㅅㅡㅇㄹㅣㄷㅏ
3,ㅇㅣㄹㄷㅏㄴㄱㅏㄹㅅㅜㅇㅣㅆㅇㅡㄹㄱㅓㄱㅏㅌㅇㅡㄴㅅㅣㄴㅂㅣㅁㅠㄴㅡㄴㅈㅚㄷㅏㅇㅖㅁㅔㄹㅡㄹㅎㅐㄷㅜㄱㅣㄴㅎㅐㅆㄴㅡㄴㄷㅔ
4,ㅈㅔㄴㅈㅏㅇㅊㅜㄹㄱㅡㄴㅎㅏㅈㅏㅁㅏㅈㅏㅌㅚㄱㅡㄴㅇㅣㅇㅑㄱㅣㄹㅏㄴㅣ
5,ㄱㅡㄹㄱㅜㅇㅗㄴㅓㅁㅏㄹㄱㅓㅁㅇㅡㄴㅂㅕㄹㅈㅔㅌㅡㄱㅎㅓㄱㅓㄷㅡㄴㅇㅕ
6,ㅇㅏㄴㅣㄱㅡㄹㅓㄴㅣㄲㅏㅈㅣㄱㅏㅂㅅㅗㄱㅇㅢㄷㅗㄴㄱㅏㅌㅇㅡㄴㅈㅐㅅㅏㄴㅁㅏㄹㄱㅗㅁㅜㄴㅎㅘㅈㅐㅈㅓㄱㅇㅣㄴ
7,ㄸㅐㄹㅣㅊㅣㄱㅗㄱㅏㅁㅓㅇㅑㄸㅐㄹㅕㅊㅣㄱㅗ
8,ㄱㅣㄱㅖㅅㅣㄱㅋㅣㅂㅗㄷㅡㄹㅗㅅㅜㄷㅏㄹㅡㄹㄸㅓㄹㄷㅏㅂㅗㄴㅣㅇㅙㄴㅈㅣㅇㅣㄱㅓㄹㅇㅕㄴㅅㅓㅇㅎㅏㄴㅇㅑㄴㄷㅔㄹㅔㅁㅜㄹㅇㅣㅇㅣㅆㅇㅡㄹㄱㅓㅅㄱㅏㅌㄷㅏㄴㅡㄴㅅㅐㅇㄱㅏㄱㅇㅣㄷㅡㄴㄷㅏㄷㅏㅇㅅㅣㄴㅇㅢㄱㅡㄱㅗㅇㅜㄴㅅㅗㄴㅇㅢㄱㅏㅁㅊㅗㄱㄴㅐㄱㅏㅈㅏㄹㄹㅏㅅㅓㅇㅕㅇㅇㅝㄴㅎㅣㄴㅡㄲㅣㄱㅗㅅㅣㅍㅇㅓㅇㅛㄴㅏㄴㄷㅏㅇㅅㅣㄴㅇㅢㅅㅗㄴㅁㅏㄴㅇㅣㅆㅇㅡㅁㅕㄴㄷㅚㄴㅡㄴㄷㅔㅇㅙㅎㅡㄱㅊㅜㄱㅇㅡㄹㅗㄸㅓㄴㅏㄴㅡㄴㄱㅓㄴㄱㅏㅇㅛ
9,ㅎㅡㄴㅈㅓㄱㅈㅏㅂㅇㅏㅇㅛ
10,
11,ㅉㅏㅇㅁㅓㅅㅇㅣㅆㅇㅓㅇㅛ
12,ㅈㅓㄴㄱㅗㄱㅣㄹㅡㄹㅈㅏㄹㅁㅓㄱㅇㅡㄴㅣㅊㅗㅅㅣㄱㄴㅏㅁㅇㅣㅇㅏㄴㅣㅂㄴㅣㄷㅏ
13,ㅈㅓㄴㅕㄱㅇㅔㄱㅏㅂㅈㅏㄱㅣㅇㅏㅊㅣㅁㅇㅣㄴㅅㅏㅎㅏㅁㅕㄴㅇㅣㅅㅏㅇㅎㅏㄴㅊㅟㄱㅡㅂㅇㅡㄴㅂㅏㄷㄱㅔㅆㅈㅕ
14,ㅇㅣㅇㅖㅆㅡㅇㅗㄴㅡㄹㅇㅣㄹㄷㅏㄴㅕㅇㅘㅆㅈㅣㅁㅏㄴㅅㅠㅍㅓㅁㅜㄴㅂㅗㄱㅗㅇㅘㅆㄱㅓㄷㅡㄴㅇㅛㄴㅏㅈㅇㅔㄸㅡㄴㅅㅠㅍㅓㅁㅜㄴㄷㅗㄱㅟㅇㅕㅇㅝㅆㅇㅓㅇㅛㄴㅜㄴㅣㅁㄷㅗㅈㅡㄹㄱㅓㅇㅜㄴㅇㅕㄴㅎㅠ
15,ㄱㅡㄹㅐㄷㅗㅇㅏㅋㅣㅈㅡㅋㅣㄴㅡㄴㄱㅡㄴㅑㅇㅈㅗㄴㄱㅕㅇㅇㅣㄴㅣ
16,ㅌㅣㅇㅘㅂㅕㅇㅈㅣㄴㅓㅁㅊㅏㄹㄸㅓㄱㅇㅣㅇㅕㅆㄴㅡㄴㄷㅔㅈㅗㅁㅁㅏㄴㅣㅇㅏㅅㅜㅂㄱㅣㄴㅎㅐㄷㅜㅈㅏㄹㅡㄴㄷㅐㄹㅗㅌㅣㅇㅘㄷㅗㅈㅗㅎㅇㅡㄴㅣㄲㅏㅇㅗㄴㅡㄹㄷㅜㄴㅓㅁㄴㅏㅈㅏㄹㅅㅐㅇㄱㅕㅆㄴㅔㅇㅛㅇ
17,ㅇㅣㄴㅅㅐㅇㅇㅡㄴㄱㅣㄹㄱㅗㄴㅗㄹㅐㄴㅈㅓㅇㅁㅏㄹㄹㅗㅇㅏㄹㅡㅁㄷㅏㅇㅜㄴㄱㅓㅅㄱㅏㅌㅇㅏㅇㅏ
18,ㄱㅣㅁㅊㅏㅇㅣㄴㅇㅣㅈㅏㄹㅁㅗㅅㅎㅐㅆㄴㅔ
19,ㄴㅏㄴㄴㅡㄴㄴㅏㄹㅡㄹㅅㅏㄹㅏㅇㅎㅏㄷㅏ
20,ㅈㅗㅎㅇㅡㄴㅇㅏㅊㅣㅁㅇㅣㅂㄴㅣㄷㅏ
21,ㄴㅏㄷㅗㅋㅗㄴㅅㅓㅌㅡㄱㅏㄱㅗㅅㅣㅍㄷㅏ
22,ㄴㅗㄹㅐㅁㅗㅇㅡㅁㅈㅜㅁㅏㄹㅇㅔㄷㅡㄷㄱㅣㅈㅗㅎㅇㅡㄴㄴㅗㄹㅐㅋㅓㄹㄹㅔㄱㅅㅕㄴㄴㅗㄹㅐㄴㅗㄹㅐㅁㅗㅇㅡㅁㅈㅜㅇㅗㄱㄱㅏㅌㅇㅡㄴㄴㅗㄹㅐ
